Order_ID,Product_Name,Category,Timestamp,Location,Quantity,Price,Weather,Is_Promo
1,Veg Burger,Fast Food,2024-01-01 00:00:00.000000000,Bangalore,1,350,Clear,False
2,Masala Dosa,Breakfast,2024-01-01 00:43:48.219018251,Hyderabad,4,141,Clear,True
3,Pepperoni Pizza,Fast Food,2024-01-01 01:27:36.438036503,Bangalore,1,337,Clear,False
4,Lassi,Beverage,2024-01-01 02:11:24.657054754,Mumbai,1,240,Clear,False
5,Pasta Alfredo,Main Course,2024-01-01 02:55:12.876073006,Mumbai,2,117,Clear,True
6,Ice Cream,Dessert,2024-01-01 03:39:01.095091257,Mumbai,2,254,Clear,False
7,Pasta Alfredo,Main Course,2024-01-01 04:22:49.314109509,Bangalore,3,386,Clear,False
8,Idli,Breakfast,2024-01-01 05:06:37.533127760,Bangalore,1,395,Clear,False
9,Pizza Margherita,Fast Food,2024-01-01 05:50:25.752146012,Delhi,3,145,Clear,True
10,Chicken Burger,Fast Food,2024-01-01 06:34:13.971164263,Mumbai,3,114,Clear,False
11,Masala Dosa,Breakfast,2024-01-01 07:18:02.190182515,Bangalore,3,113,Clear,True
12,Idli,Breakfast,2024-01-01 08:01:50.409200766,Mumbai,2,281,Clear,False
13,Masala Dosa,Breakfast,2024-01-01 08:45:38.628219018,Bangalore,1,287,Clear,False
14,Lassi,Beverage,2024-01-01 09:29:26.847237269,Chennai,2,102,Clear,True
15,Lassi,Beverage,2024-01-01 10:13:15.066255521,Hyderabad,3,182,Rain,True
16,Idli,Breakfast,2024-01-01 10:57:03.285273772,Mumbai,3,340,Clear,False
17,Lassi,Beverage,2024-01-01 11:40:51.504292024,Delhi,3,112,Rain,False
18,Paneer Butter Masala,Main Course,2024-01-01 12:24:39.723310275,Hyderabad,3,96,Clear,True
19,Paneer Butter Masala,Main Course,2024-01-01 13:08:27.942328527,Bangalore,3,283,Clear,True
20,Chicken Biryani,Main Course,2024-01-01 13:52:16.161346778,Delhi,2,258,Rain,False
21,Veg Biryani,Main Course,2024-01-01 14:36:04.380365030,Mumbai,2,310,Clear,False
22,Pasta Alfredo,Main Course,2024-01-01 15:19:52.599383281,Bangalore,3,266,Clear,False
23,Chocolate Cake,Dessert,2024-01-01 16:03:40.818401533,Mumbai,2,213,Clear,False
24,Ice Cream,Dessert,2024-01-01 16:47:29.037419784,Chennai,2,207,Clear,False
25,Chicken Biryani,Main Course,2024-01-01 17:31:17.256438036,Chennai,1,362,Clear,False
26,Pepperoni Pizza,Fast Food,2024-01-01 18:15:05.475456288,Bangalore,2,216,Clear,False
27,Pepperoni Pizza,Fast Food,2024-01-01 18:58:53.694474539,Chennai,3,394,Clear,False
28,Chicken Burger,Fast Food,2024-01-01 19:42:41.913492791,Hyderabad,2,131,Clear,False
29,Pepperoni Pizza,Fast Food,2024-01-01 20:26:30.132511042,Mumbai,1,160,Clear,False
30,Pizza Margherita,Fast Food,2024-01-01 21:10:18.351529294,Bangalore,1,303,Clear,False
31,Chicken Burger,Fast Food,2024-01-01 21:54:06.570547545,Hyderabad,2,239,Clear,False
32,Pepperoni Pizza,Fast Food,2024-01-01 22:37:54.789565797,Bangalore,1,334,Clear,False
33,Pepperoni Pizza,Fast Food,2024-01-01 23:21:43.008584048,Hyderabad,3,271,Clear,True
34,Pepperoni Pizza,Fast Food,2024-01-02 00:05:31.227602300,Hyderabad,1,338,Clear,False
35,Paneer Butter Masala,Main Course,2024-01-02 00:49:19.446620551,Chennai,4,192,Clear,True
36,Chicken Biryani,Main Course,2024-01-02 01:33:07.665638803,Bangalore,3,208,Clear,False
37,Veg Burger,Fast Food,2024-01-02 02:16:55.884657054,Bangalore,3,377,Clear,False
38,Pasta Alfredo,Main Course,2024-01-02 03:00:44.103675306,Delhi,1,81,Clear,False
39,Pizza Margherita,Fast Food,2024-01-02 03:44:32.322693557,Hyderabad,3,88,Clear,False
40,Idli,Breakfast,2024-01-02 04:28:20.541711809,Chennai,2,199,Clear,False
41,Chicken Burger,Fast Food,2024-01-02 05:12:08.760730060,Chennai,3,155,Clear,True
42,Masala Dosa,Breakfast,2024-01-02 05:55:56.979748312,Chennai,1,273,Clear,False
43,Idli,Breakfast,2024-01-02 06:39:45.198766563,Mumbai,1,147,Clear,False
44,Masala Dosa,Breakfast,2024-01-02 07:23:33.417784815,Mumbai,3,274,Clear,False
45,Idli,Breakfast,2024-01-02 08:07:21.636803066,Delhi,2,101,Clear,False
46,Masala Dosa,Breakfast,2024-01-02 08:51:09.855821318,Mumbai,3,106,Clear,False
47,Idli,Breakfast,2024-01-02 09:34:58.074839569,Chennai,1,396,Clear,False
48,Masala Dosa,Breakfast,2024-01-02 10:18:46.293857821,Chennai,2,125,Clear,False
49,Lassi,Beverage,2024-01-02 11:02:34.512876073,Chennai,1,381,Clear,False
50,Masala Dosa,Breakfast,2024-01-02 11:46:22.731894324,Chennai,2,204,Clear,True
51,Chicken Biryani,Main Course,2024-01-02 12:30:10.950912576,Bangalore,3,116,Clear,True
52,Paneer Butter Masala,Main Course,2024-01-02 13:13:59.169930827,Bangalore,3,230,Rain,False
53,Paneer Butter Masala,Main Course,2024-01-02 13:57:47.388949079,Bangalore,1,378,Clear,False
54,Pasta Alfredo,Main Course,2024-01-02 14:41:35.607967330,Bangalore,3,385,Clear,False
55,Chicken Biryani,Main Course,2024-01-02 15:25:23.826985582,Mumbai,1,99,Clear,False
56,Masala Dosa,Breakfast,2024-01-02 16:09:12.046003833,Hyderabad,4,188,Clear,True
57,Pasta Alfredo,Main Course,2024-01-02 16:53:00.265022085,Bangalore,2,142,Clear,False
58,Pepperoni Pizza,Fast Food,2024-01-02 17:36:48.484040336,Mumbai,2,259,Rain,False
59,Pepperoni Pizza,Fast Food,2024-01-02 18:20:36.703058588,Mumbai,1,139,Clear,False
60,Chicken Biryani,Main Course,2024-01-02 19:04:24.922076839,Delhi,3,107,Clear,True
61,Chicken Biryani,Main Course,2024-01-02 19:48:13.141095091,Mumbai,4,237,Rain,False
62,Veg Burger,Fast Food,2024-01-02 20:32:01.360113342,Chennai,3,261,Clear,True
63,Veg Burger,Fast Food,2024-01-02 21:15:49.579131594,Chennai,1,137,Clear,False
64,Veg Burger,Fast Food,2024-01-02 21:59:37.798149845,Delhi,1,351,Clear,False
65,Veg Burger,Fast Food,2024-01-02 22:43:26.017168097,Chennai,4,131,Clear,True
66,Chocolate Cake,Dessert,2024-01-02 23:27:14.236186348,Mumbai,3,299,Rain,False
67,Pizza Margherita,Fast Food,2024-01-03 00:11:02.455204600,Delhi,2,118,Clear,False
68,Veg Burger,Fast Food,2024-01-03 00:54:50.674222851,Mumbai,2,89,Clear,False
69,Paneer Butter Masala,Main Course,2024-01-03 01:38:38.893241103,Delhi,2,226,Clear,False
70,Chocolate Cake,Dessert,2024-01-03 02:22:27.112259354,Mumbai,5,337,Rain,False
71,Chicken Burger,Fast Food,2024-01-03 03:06:15.331277606,Hyderabad,2,242,Clear,False
72,Cold Coffee,Beverage,2024-01-03 03:50:03.550295858,Bangalore,1,347,Clear,False
73,Cold Coffee,Beverage,2024-01-03 04:33:51.769314109,Bangalore,4,77,Rain,True
74,Masala Dosa,Breakfast,2024-01-03 05:17:39.988332361,Bangalore,3,169,Clear,False
75,Ice Cream,Dessert,2024-01-03 06:01:28.207350612,Delhi,3,164,Clear,True
76,Veg Biryani,Main Course,2024-01-03 06:45:16.426368864,Delhi,1,154,Clear,False
77,Lassi,Beverage,2024-01-03 07:29:04.645387115,Mumbai,2,271,Clear,False
78,Masala Dosa,Breakfast,2024-01-03 08:12:52.864405367,Delhi,3,175,Clear,False
79,Masala Dosa,Breakfast,2024-01-03 08:56:41.083423618,Chennai,3,92,Clear,False
80,Idli,Breakfast,2024-01-03 09:40:29.302441870,Chennai,4,226,Rain,True
81,Lassi,Beverage,2024-01-03 10:24:17.521460121,Hyderabad,1,363,Clear,False
82,Masala Dosa,Breakfast,2024-01-03 11:08:05.740478373,Hyderabad,1,148,Clear,False
83,Masala Dosa,Breakfast,2024-01-03 11:51:53.959496624,Delhi,2,195,Clear,True
84,Veg Biryani,Main Course,2024-01-03 12:35:42.178514876,Hyderabad,4,302,Rain,False
85,Paneer Butter Masala,Main Course,2024-01-03 13:19:30.397533127,Chennai,3,155,Clear,False
86,Chicken Biryani,Main Course,2024-01-03 14:03:18.616551379,Bangalore,4,215,Clear,True
87,Pasta Alfredo,Main Course,2024-01-03 14:47:06.835569630,Delhi,2,84,Clear,False
88,Chicken Biryani,Main Course,2024-01-03 15:30:55.054587882,Mumbai,1,296,Clear,False
89,Masala Dosa,Breakfast,2024-01-03 16:14:43.273606133,Hyderabad,1,261,Clear,False
90,Veg Burger,Fast Food,2024-01-03 16:58:31.492624385,Mumbai,4,252,Rain,False
91,Lassi,Beverage,2024-01-03 17:42:19.711642636,Chennai,1,80,Clear,False
92,Pepperoni Pizza,Fast Food,2024-01-03 18:26:07.930660888,Bangalore,1,391,Clear,False
93,Pizza Margherita,Fast Food,2024-01-03 19:09:56.149679139,Delhi,2,336,Clear,True
94,Chicken Biryani,Main Course,2024-01-03 19:53:44.368697391,Bangalore,1,243,Clear,False
95,Pizza Margherita,Fast Food,2024-01-03 20:37:32.587715642,Hyderabad,1,93,Clear,False
96,Chicken Biryani,Main Course,2024-01-03 21:21:20.806733894,Mumbai,2,77,Clear,True
97,Pizza Margherita,Fast Food,2024-01-03 22:05:09.025752146,Bangalore,1,87,Clear,False
98,Pepperoni Pizza,Fast Food,2024-01-03 22:48:57.244770397,Chennai,1,120,Clear,False
99,Pasta Alfredo,Main Course,2024-01-03 23:32:45.463788649,Delhi,1,291,Clear,False
100,Ice Cream,Dessert,2024-01-04 00:16:33.682806900,Delhi,3,332,Clear,False
101,Pasta Alfredo,Main Course,2024-01-04 01:00:21.901825152,Delhi,2,89,Clear,False
102,Pizza Margherita,Fast Food,2024-01-04 01:44:10.120843403,Chennai,3,368,Clear,False
103,Cold Coffee,Beverage,2024-01-04 02:27:58.339861655,Hyderabad,1,361,Clear,False
104,Chicken Biryani,Main Course,2024-01-04 03:11:46.558879906,Mumbai,2,177,Rain,False
105,Chicken Biryani,Main Course,2024-01-04 03:55:34.777898158,Delhi,1,212,Clear,False
106,Pizza Margherita,Fast Food,2024-01-04 04:39:22.996916409,Chennai,1,281,Clear,False
107,Ice Cream,Dessert,2024-01-04 05:23:11.215934661,Chennai,1,130,Clear,False
108,Chicken Biryani,Main Course,2024-01-04 06:06:59.434952912,Hyderabad,4,174,Rain,False
109,Cold Coffee,Beverage,2024-01-04 06:50:47.653971164,Hyderabad,2,347,Clear,False
110,Masala Dosa,Breakfast,2024-01-04 07:34:35.872989415,Bangalore,3,382,Clear,False
111,Lassi,Beverage,2024-01-04 08:18:24.092007667,Bangalore,5,271,Rain,False
112,Masala Dosa,Breakfast,2024-01-04 09:02:12.311025918,Mumbai,3,387,Clear,False
113,Masala Dosa,Breakfast,2024-01-04 09:46:00.530044170,Bangalore,2,130,Clear,False
114,Lassi,Beverage,2024-01-04 10:29:48.749062421,Bangalore,2,352,Clear,False
115,Idli,Breakfast,2024-01-04 11:13:36.968080673,Hyderabad,2,284,Clear,False
116,Masala Dosa,Breakfast,2024-01-04 11:57:25.187098924,Mumbai,2,230,Rain,False
117,Chicken Biryani,Main Course,2024-01-04 12:41:13.406117176,Bangalore,1,274,Clear,False
118,Paneer Butter Masala,Main Course,2024-01-04 13:25:01.625135427,Delhi,3,356,Clear,False
119,Chicken Biryani,Main Course,2024-01-04 14:08:49.844153679,Bangalore,2,80,Clear,False
120,Chicken Biryani,Main Course,2024-01-04 14:52:38.063171931,Chennai,3,323,Clear,True
121,Paneer Butter Masala,Main Course,2024-01-04 15:36:26.282190182,Bangalore,3,158,Clear,True
122,Idli,Breakfast,2024-01-04 16:20:14.501208434,Bangalore,2,73,Clear,True
123,Lassi,Beverage,2024-01-04 17:04:02.720226685,Hyderabad,3,157,Clear,False
